[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.54, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.54, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.6599999999999999, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.58, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
[0.4, 0.4, -0.5, -0.5][True, True, True, True]20
